번호,제목,생산일,조회수,내용번호
290,[방재_기타신고] 공연 및 야외 영화감상을 하면 소방서에서 안전관리 요원이 출동 하나요?,2007-08-14,675,2894426
291,[방재_기타신고] 가스나 전기에 의한 용접 작업 등을 하려고 할 경우 신고기관은?,2007-08-14,529,2894425
292,[농업기술센터] 새해농업인실용교육,2007-08-31,300,2898115
293,농업지도자회 문의?,2007-08-31,152,2896956
294,농업기술센터에서 하고있는 계절별 영농교육은?,2007-09-03,477,2895726
295,[농업기술센터] 귀촌(전원생활) 교육,2007-09-03,951,2898201
296,사회복지법인이 의료기관을 설치ㆍ운영할 수 있나요?,2007-10-04,1553,2897145
297,4-H 운동이란?,2007-10-08,311,2898106
298,[관광정보] 국립현대미술관(덕수궁관),2007-10-08,1686,2898413
299,[환경영향평가] 기준 및 대상사업,2007-10-12,6512,2896943
300,서울의 꽃 도매상가,2007-10-12,16003,2894973
301,주거정비사업(재개발.재건축.주거환경개선사업)의 시행절차는?,2007-10-12,3332,2898202
302,건설신기술 지정 후 지원대책 및 자료등록,2007-10-20,557,2896959
303,물의 급수에 따른 용도와 서식생물들은 어떤것이 있나요?,2007-10-22,2759,2894477
304,서울시 주요 공연정보를 알수 있나요?,2007-10-30,546,2895635
305,[전자문서] 외부기관에서 서울특별시로 전자문서를 보냈는데 수신내역 확인이 되나요?,2007-10-30,383,2895011
306,"LPG,CNG충전소 위치는 어떻게 알수있나요?",2007-10-31,14896,2896572
307,시장님 직인은 어디에서 찍을 수 있나요?,2007-11-06,955,2895383
308,서울 사이버 흙은행은 이용방법은?,2007-11-06,1420,2896813
309,성북구 장위지구 뉴타운 언제 되나요?,2007-11-06,1045,2898146
310,서울시 국제관계대사,2007-11-07,2721,2895630
311,시티패스카드(티머니카드)와 시티패스 플러스카드,2007-11-15,7883,2898607
312,[공무원 복지카드] 관련하여 어디에 문의,2007-11-19,4608,2897362
313,서울시 생활개선회란 ?,2007-11-19,351,2896944
314,서울에 있는 장애인 도서관은?,2007-11-20,1435,2896785
315,농업소득세란?,2007-11-21,2461,2894143
316,[육아종합지원센터(구.보육정보센터)] 이용안내,2007-11-22,815,19004079
317,윤봉길의사 기념관(매헌기념관),2007-11-23,3857,2898608
318,서울시의 바이오에너지 이용 사례는?,2007-11-23,7579,2894200
319,서울시에서 우천시 흙탕물을 정화하여 상수도로 정화하는 방법은?,2007-11-27,1247,2894292
320,서울시청 본관의 역사는 어떻게 되나요?,2007-12-06,1918,2894124
321,화물운전자 복지카드는 어떻게 발급받나요? (자치구업무),2007-12-14,10954,2894665
322,[어린이회관] 실외 수영장 이용문의,2007-12-20,5345,2896879
323,포장공사업 등록은 어떻게 하나요?,2007-12-21,1579,2894489
324,불법 통신판매업 신고는 어디로 하나요? (자치구 업무),2007-12-24,3422,2897373
325,서울에 있는 공무원 노동조합은 어디어디인가요?,2007-12-27,1760,2898299
326,실험실에서 사용한불용.폐기기 경매 관련 내용을 볼수있는곳이 있나요?,2008-01-09,384,2894238
327,내가 가입되어 있는 보험이 무엇이 있는지 조회할수 있나요?,2008-01-10,1606,2896311
328,문화역 서울 284 (옛 서울역 역사),2008-01-13,2729,2897746
329,건폐율과 용적률이 무엇인가요?,2008-01-14,87483,2896485
330,수입정수기 필터 검사기준이 규정되어 있나요?,2008-01-17,606,2894293
331,지하 저수조 설치 기준은?,2008-01-17,22062,2894628
332,횡단보도내에 있는 시각장애인들을 위한 음성유도장치관리는 어디서 하나요?,2008-02-11,600,2896327
333,[정보통신] 통신관련 민원처리기관과 통신사업자 민원처리 안내번호,2008-02-11,7675,2897030
334,도로별 속도 제한은?,2008-02-14,13571,2894562
335,편도 5차로이상 도로에서 차로에 따른 통행차의 기준,2008-02-14,1918,2894462
336,도시계획확인원은 어디에서 확인 할 수 있나요?,2008-02-14,8613,2898599
337,서울시 자치구별 장례식장과 이용요금,2008-02-19,3888,2894536
338,"건설업체 신규등록및 변경 (상호변경, 대표자변경, 주소변경)등에 필요한 서류는 ?",2008-02-20,4979,2896698
339,서울의 어린이 도서관 현황,2008-02-20,2002,2896947
340,지하도상가 개보수공사(리모델링) 진행현황은 어떻게 되나요?,2008-02-20,1152,2896366
341,"흑석 재정비촉진지구가 현재 어느 단계까지 추진이 되었으며, 향후 추진일정은 어떻게 되는 가요?",2008-03-03,322,2894458
342,신용카드 결제 거부 어디에 신고해야 하나요?,2008-03-06,27892,2895804
343,한강 생태박물관은 어떻게 건립되나요,2008-03-10,287,2894471
344,"전세권 및 근저당권 설정, 말소시 필요서류",2008-03-14,51030,2894679
345,지정정비사업자 지정신청문의(자치구 업무),2008-03-14,722,2894375
346,생산자 재활용 의무제도 (생산자책임재활용 제도) 안내,2008-03-21,1567,2896361
347,도로 및 도로시설물 관리는?,2008-03-31,4505,2894920
348,담배판매가격 신고 수리,2008-04-01,1069,2898289
349,도시환경정비 기본계획은 인터넷상으로 확인 가능한가요?,2008-04-04,549,2897083
350,펜션업은 어느 곳에서나 가능한지 여부와 사업자 등록증의 개설절차는 어떠한지 궁금합니다.,2008-04-14,1646,2894117
351,"신문구독강요,경품제공 등 신문불공정거래는 어디에 신고해야 합니까 ?",2008-04-14,2831,2896885
352,도로의 종류와 관리청은?,2008-04-15,2818,2894465
353,장애인을 위한 방송수신기 보급사업,2008-04-15,1495,2897147
354,측량업 폐업 신고 문의,2008-04-19,471,2896613
355,물건조사란 무엇인가요?,2008-04-22,1747,2894362
356,건물등은 어떻게 보상되나요?,2008-04-22,322,2894611
357,도시계획시설사업에 편입되는 주거용 세입자에 대한 이주대책은 무엇인지요?,2008-04-22,781,2894363
358,미성년자(18세 미만자)가 아르바이트를 하는 경우 필요한 절차는?,2008-04-28,7082,2894624
359,[마포구청] 주택의 발코니부분에 샷시 설치 가능 여부는? (자치구 업무),2008-04-29,2056,2895845
360,주차료 부과에 대한 이의 신청,2008-04-29,1110,2894244
361,부정주차 신고자의 차량번호 등을 물어보는 이유가 뭔가요? (자치구업무),2008-04-29,2153,2894245
362,서울시 법인세무조사 인터넷 신고 시스템 문의,2008-05-02,1211,2896611
363,"서울시버스운송사업조합 Upass(유패스)카드-한국스마트카드로 사업 이전, 유패스와 티머니 서비스 통합",2008-05-06,4670,2898163
364,청소년대상 성범죄자 신상정보 열람 제도 문의,2008-05-06,2212,2895823
365,서울시 공무원 자녀 학자금 문의?,2008-05-14,523,2895376
366,역사문화미관지구 조정 계획은?,2008-05-14,1498,2898229
367,서대문구에서 관리하는 기금은 어떤 것이 있나요?,2008-05-17,174,2897294
368,"새정부의 우수고교 유치에 대한 교육정책은 무엇이며, 현재 자치구에서 우수학교 유치를 위해 추진하고 있는 일은 무엇입니까?",2008-05-17,287,2894405
369,양식관리 게시판모니터링 및 관리,2008-05-17,559,2898142
370,내부메일,2008-05-17,616,2898141
371,건물에서 배출되는 하수관에 문제가 생겨 하수가 배출되지 않는데 어떻게 해야 하나요?,2008-05-17,642,2894194
372,통합예약시스템,2008-05-17,746,2898140
373,조례제개정청구를 주민이 할 수 있나요?,2008-05-17,765,2894110
374,행정혁신이 무엇인가요?,2008-05-17,808,2895829
375,용산구 특별계획구역,2008-05-17,1547,2895100
376,자치구단위 GRDP 추계,2008-05-17,3338,2896810
377,한국 여성의 전화(구 서울 여성의 전화),2008-05-23,2134,2895805
378,역대 서울시장,2008-05-23,18159,2897205
379,지하철 역사에서 지하철 도우미로 일하려면?,2008-06-12,2338,2896913
380,각 지역 지역번호 문의,2008-06-12,3417,2894919
381,의전 도우미 (의전업무 매뉴얼),2008-06-12,16228,2896441
382,자동차 공매로 낙찰받은 차량에 대한 가압류된 세금 및 과태료는 낙찰자가 부감하는지요?,2008-06-17,3009,2894371
383,청계천 마차 시간 및 위치?,2008-06-17,811,2895344
384,교통정보의 제공 수집범위는 어떻게 되나요?,2008-06-17,703,2894612
385,산업폐유등을 처리할 수 있는 곳이 있나요?,2008-06-19,4309,2894965
386,청각장애인에게 보청기 지원 사업이 있나요?,2008-07-04,2867,2896513
387,국민기초생활수급자인데 이사를 하게 되었다며 부동산 중개수수료(복비)를 무료로 해 주나요?,2008-07-09,7211,2897658
388,서울시소년소녀합창단 주소 및 전화번호가 어떻게 되나요?,2008-07-16,487,2897471
389,서울의 특산물은 무엇인가요?,2008-07-22,4015,2894561
390,[서울랜드] 수영장,2008-07-24,4928,2895394
391,서울시 함께꿈 학부모단,2008-07-25,667,2895210
392,[영등포공원] 풋살장 예약하려면 어떻게 해야하나요?,2008-07-25,5872,2896076
393,택시요금을 현금으로 결제시 현금영수증 어떻게 발급 받나요?,2008-07-25,33311,2898374
394,"금융결제원 전자금융공동망 1369 (수표 , 환율 , 신용카드 , 주택청약조회)",2008-07-26,4008,2895425
395,[저출산대책] 정부 또는 전국 지자체(자치구) 출산지원시책을 확인할 수 있는 곳이 있나요?,2008-07-26,1406,2897621
396,"어린이 안전사고 신고센터(놀이사고, 시설사고등)",2008-07-26,962,2894565
397,도로에서 세차하는 차를 단속해주세요,2008-08-11,2877,2894339
398,잠수교 유지관리 보수 문의?,2008-08-16,1904,2898290
399,"에너지 효율관리제도 (에너지소비효율등급표시, 에너지효율비교)",2008-08-18,3439,2897812
400,N서울타워 옆에 새로 생긴 탑 같은 구조물이 뭔가요?,2008-08-28,1641,2894674
401,자체개발 소방장비 제안 방법?,2008-09-01,507,2894413
402,헬기 이송기준은?,2008-09-09,2612,2895564
403,고압가스 충전소의 안전밸브 점검기준이 어떻게 되나요?,2008-09-09,876,2896827
404,[감찰]부조리 신고(금품수수 등)및 소방행정민원(감사)문의,2008-09-16,620,2894220
405,국가코드를 알고자 하는데 어떻게 확인되나요?,2008-09-16,1463,2894576
406,[시·구정외 타기관 관련 상담] 재외국민등록부등본 발급 절차,2008-09-23,12413,2896457
407,신분증 분실에 의한 정보 도용 피해는 어떻게 되나요?,2008-09-24,1944,2894112
408,금융회사에 채무를 연체한 경우 어떻게 되나요?,2008-09-24,739,2894997
409,판문점관광 및 DMZ관광,2008-09-29,1498,2894675
410,송파구에 장애인 전용목욕탕이 있나요?,2008-09-29,1154,2894678
411,서울특별시 교육연수원 수영장,2008-10-01,10424,2896442
412,지하수에서 비린내가 날 때는 어떻게 하나요?,2008-10-08,2684,2894187
413,게임중독(인터넷중독) 상담받을 수 있는 곳,2008-10-08,594,22196070
414,"[질병관리] 사스(중증 급성 호흡기 증후군 (severe acute respiratory syndrome, SARS) ) 응대요령",2008-10-09,3506,2894158
415,조류인플루엔자는 어떻게 진단하고 치료합니까?,2008-10-09,813,2894157
416,모든공무원이 장애인고용의무가 적용되나요?,2008-10-10,497,2895633
417,[관광정보] 대림미술관,2008-10-10,726,2896872
418,[관광정보] 북촌미술관,2008-10-10,455,2896341
419,출근시간 올림픽대로 통행제한 차량은?,2008-10-13,11199,2895637
420,이화장을 관람하고싶습니다.,2008-10-14,3097,2898536
421,양재 환승 주차장 관련 문의는?,2008-10-27,16933,2897050
422,서울시 편의시설 설치시민 촉진단(지체장애인 편의시설 서울지원센터),2008-11-04,1957,2898603
423,우리는 승차거부를 하지 않습니다 라는 스티커는 의무사항인가요?,2008-11-11,1460,2896406
424,13개 간선도로 및 남산권 도로공사 관련 문의는?,2008-11-19,723,2894615
425,[위험물 용도폐지] 용도폐지신고를 늦게하거나 하지 않았을때 벌칙은?,2008-11-21,722,2898509
426,[위험물 변경허가] 여러 개의 위험물탱크 중 일부를 철거할 경우 용도폐지에 해당하나요? 변경허가를 받아야 하나요?,2008-11-21,818,2894419
427,고압가스/LPG 검사기관 지정신청은 어떻게 하나요?,2008-11-21,541,2895314
428,구릉지에 입지하면 모두 제1종 일반주거지역이 되는 것입니까?,2008-11-24,1024,2894340
429,역세권이란?,2008-11-24,9388,2894338
430,"주택 용도별 차이점과 기준(단독, 다가구, 다세대등 구분)",2008-11-24,62550,2894156
431,대한민국 훈장의 종류와 정의,2008-11-24,6336,2894111
432,"착한가격업소 (가격안정 모범업소, 착한가게)",2008-11-27,1436,2897048
433,비사업용 토지의 판정요령은 ?,2008-12-01,2304,2894613
434,영세사업자 대출 문의,2008-12-01,3804,2896826
435,[보건복지가족부] 임신.출산전 진료비 지원사업이란? (고운맘 카드),2008-12-02,11314,2895297
436,견인업체 인허가는 어디에서 하나요?,2008-12-10,2440,2894991
437,건축심의내용을 인터넷으로 직접 확인하고 싶습니다,2008-12-16,1397,2898600
438,임목등록원부(임목대장)를 받고 싶어요,2008-12-24,1491,2894109
439,서울시내에 있는 등급별 호텔 현황을 알고싶습니다.,2009-01-09,630,2895369
440,노량진역사 분양등 관련 문의사항은?,2009-01-12,855,2894148
441,해외 무역투자사절단 지원에 대해 궁금합니다.,2009-01-13,354,2896433
442,[무역상담] 해외전시회 관련 정보와 지원받을수 있는 내용을 알려주세요.,2009-01-13,208,2894468
443,[경찰청] 한달음시스템 (수화기를 내려놓으면 경찰 출동),2009-01-20,7611,2894608
444,예금자 보호제도란 무엇인가요?,2009-02-04,2546,2894470
445,CNG가스버스 운행하려면 교육을 꼭 이수해야하나요?,2009-02-04,4234,2894459
446,전화번호부 책을 구입할 수 있나요?,2009-02-11,5923,2895594
447,팔당댐 위 도로 통행 가능 시간은?,2009-02-11,15727,2896562
448,아현동 가구거리 (위치/홈피주소),2009-02-12,2699,2896354
449,독립유공자 진료증은?,2009-02-12,1252,2896877
450,마포농수산물센터 이용 안내,2009-02-12,8071,2894947
451,[농수산식품공사] 농수산물 직원은 공무원인가요,2009-02-16,1588,2894949
452,택시기사가 면허취소로 교육 받으러 가려고 합니다. 어디로 가야하나요?,2009-02-17,1098,2894925
453,공장건축 총량제란?,2009-02-17,868,2895313
454,맞춤형 보육중 휴일이나 시간제 보육시 별도 교사의 수당이나 인건비 지급이 되는지?,2009-02-18,944,2894673
455,장애인 가구에 TV 유료방송을 지원해 주는 지역이 어디인가요?,2009-02-18,975,2895220
456,서울시에 신고된 전자거래업체(쇼핑몰) 정보 조회는?,2009-02-18,199,2896396
457,"교복 물려입기 운동(교복,체육복 물려주기ㆍ나눔)",2009-02-19,2421,2895265
